Date,AAPL,ABBV,ABT,ADBE,AMGN,AMZN,BAC,CMCSA,COST,CRM,CSCO,CVX,DIS,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,MDT,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,T,TMO,TSLA,TXN,UNH,UNP,UPS,V,VZ,WMT,XOM
2021-04-09,129.9356231689453,90.9516830444336,111.89735412597656,504.0400085449219,217.5457763671875,168.61000061035156,36.000816345214844,47.95082092285156,345.3037414550781,229.6345672607422,46.187843322753906,86.28524780273438,185.5972137451172,112.99329376220703,297.9617919921875,287.85858154296875,108.22586059570312,62.083343505859375,142.70468139648438,140.4086151123047,47.147308349609375,176.45315551757812,371.3672180175781,210.2076416015625,108.05166625976562,310.9942626953125,64.47195434570312,70.07341003417969,246.92950439453125,69.94879913330078,555.3099975585938,127.85948181152344,14.367180824279785,71.34748077392578,125.59292602539062,30.009902954101562,122.74006652832031,74.36430358886719,128.19223022460938,17.324295043945312,474.1771240234375,225.67333984375,173.3408203125,355.136474609375,202.95721435546875,149.30247497558594,215.73341369628906,44.990638732910156,43.90550994873047,47.28066635131836
2021-04-12,128.21615600585938,91.55216217041016,112.02690887451172,506.0299987792969,217.53700256347656,168.96949768066406,36.06383514404297,47.727046966552734,346.824951171875,227.1324920654297,45.72676467895508,85.32949829101562,184.2142791748047,111.69698333740234,298.88946533203125,289.26519775390625,107.31687927246094,59.4912223815918,143.0498504638672,140.11212158203125,47.29802703857422,173.89944458007812,371.1327209472656,209.73545837402344,107.86566162109375,310.07861328125,64.39593505859375,69.60462188720703,246.9873504638672,69.67953491210938,552.780029296875,128.98280334472656,15.174338340759277,71.85724639892578,125.98934173583984,30.313282012939453,123.2351303100586,74.6256103515625,125.33781433105469,17.27815055847168,471.3056335449219,233.9933319091797,170.67990112304688,355.1175842285156,203.2390899658203,151.54273986816406,214.71542358398438,45.02976608276367,43.91179275512695,46.967552185058594
2021-04-13,131.33265686035156,91.52678680419922,113.85021209716797,514.8599853515625,218.41961669921875,170.0,35.39765167236328,48.228302001953125,347.2051696777344,230.34945678710938,45.80656433105469,85.71516418457031,183.2264862060547,112.18514251708984,295.14251708984375,288.9136047363281,104.59786224365234,59.31840896606445,141.1382598876953,138.44102478027344,47.0675163269043,174.57852172851562,369.4619140625,210.0623779296875,109.49530029296875,308.30694580078125,64.57333374023438,69.04035186767578,249.47743225097656,70.93598937988281,553.72998046875,126.05653381347656,15.643765449523926,72.37641906738281,126.01573944091797,30.469070434570312,121.60604858398438,74.12751770019531,125.21014404296875,17.08783531188965,480.08856201171875,254.10667419433594,169.6244659423828,353.4377136230469,201.82080078125,152.25555419921875,214.27915954589844,45.09237289428711,43.77672576904297,47.145263671875
2021-04-14,128.98797607421875,90.65363311767578,112.86553955078125,510.6300048828125,218.1312255859375,166.64999389648438,35.901790618896484,47.709144592285156,345.2657165527344,226.3977508544922,45.54941940307617,87.41706848144531,185.17245483398438,111.5621109008789,302.0509338378906,288.5709533691406,105.75403594970703,58.38161849975586,141.52764892578125,135.853515625,47.05865478515625,175.02804565429688,369.6475524902344,209.1451873779297,109.73444366455078,301.3995056152344,64.5479965209961,70.13414764404297,246.67852783203125,71.01676177978516,540.02001953125,124.84823608398438,15.242185592651367,72.51802062988281,125.18766784667969,30.477270126342773,122.04703521728516,74.36430358886719,122.88468933105469,17.145511627197266,473.3453369140625,244.07666015625,168.81724548339844,354.5041809082031,202.37539672851562,149.53158569335938,215.20985412597656,45.15498352050781,43.76101303100586,48.50774383544922
2021-04-15,131.4010467529297,91.50110626220703,115.13214874267578,523.25,222.94619750976562,168.95449829101562,34.87550354003906,48.461029052734375,350.61810302734375,231.3423309326172,45.7888298034668,86.7044448852539,183.66110229492188,113.71881103515625,304.9331970214844,291.02362060546875,105.71417236328125,59.136512756347656,141.94357299804688,136.71600341796875,47.28029251098633,177.8208465576172,377.6302490234375,210.02601623535156,111.46148681640625,306.3760681152344,64.76765441894531,70.16020202636719,250.4522705078125,71.9591293334961,549.219970703125,126.17925262451172,16.100475311279297,73.90572357177734,125.36389923095703,30.829845428466797,123.52314758300781,74.98490142822266,125.7026138305664,17.157047271728516,489.52484130859375,246.28334045410156,171.3363037109375,368.0754089355469,202.8300018310547,152.4422607421875,219.3787384033203,45.15498352050781,44.02486801147461,48.22001266479492
2021-04-16,131.0689239501953,92.3742446899414,115.51300048828125,525.0800170898438,223.4530029296875,169.9720001220703,35.24461364746094,49.329288482666016,352.4434814453125,230.2600860595703,46.81739807128906,86.31880187988281,184.97488403320312,113.59440612792969,308.3198547363281,295.8388977050781,106.51951599121094,58.89094543457031,143.580810546875,137.7312469482422,47.59059143066406,181.00579833984375,377.3175964355469,211.6605987548828,111.5146255493164,304.7437438964844,65.45198822021484,68.22433471679688,251.64895629882812,72.64119720458984,546.5399780273438,126.78337860107422,15.876236915588379,74.52874755859375,126.99356842041016,31.625192642211914,123.5321044921875,75.8667984008789,126.0400161743164,17.272384643554688,488.0792236328125,246.5933380126953,170.23643493652344,369.0191955566406,202.4753875732422,152.50169372558594,219.50477600097656,45.60888671875,44.16621780395508,47.9492073059082
2021-04-19,131.7332000732422,92.97346496582031,115.6801986694336,516.1699829101562,223.6802215576172,168.60049438476562,35.262611389160156,48.461029052734375,351.33123779296875,228.860107421875,46.861724853515625,86.57030487060547,185.14279174804688,113.9432373046875,309.02239990234375,294.7297058105469,106.1447525024414,57.87229919433594,143.97909545898438,137.14724731445312,47.87429428100586,181.37879943847656,373.3995361328125,210.50732421875,111.70947265625,300.82220458984375,65.6125259399414,69.47440338134766,249.71868896484375,71.60912322998047,554.4400024414062,125.14088439941406,15.326738357543945,74.3399658203125,127.51329803466797,31.92037010192871,122.95610809326172,74.85425567626953,123.34068298339844,17.295454025268555,482.85107421875,238.2100067138672,165.91690063476562,367.9149169921875,203.16635131835938,151.1014862060547,218.90362548828125,45.69496154785156,43.883514404296875,47.7968864440918
2021-04-20,130.04310607910156,93.3330078125,111.47212219238281,514.2100219726562,226.45034790039062,166.7344970703125,34.281349182128906,48.478939056396484,353.40374755859375,226.3381805419922,45.921836853027344,84.9522476196289,180.55943298339844,113.40829467773438,298.925537109375,292.12371826171875,110.16345977783203,57.02644729614258,147.33319091796875,134.11053466796875,48.0250129699707,182.3065643310547,367.996337890625,211.59703063964844,113.61365509033203,301.2302551269531,66.38135528564453,67.09579467773438,249.2554473876953,72.27322387695312,549.5700073242188,119.98685455322266,15.136673927307129,74.80252075195312,128.35899353027344,32.002357482910156,123.9821548461914,76.75685119628906,121.65355682373047,17.237783432006836,477.6228942871094,239.663330078125,164.3292236328125,374.2287292480469,200.62074279785156,152.4846954345703,216.47021484375,45.69496154785156,44.222755432128906,46.78983688354492
2021-04-21,130.42410278320312,94.84817504882812,113.88735961914062,512.3400268554688,226.13572692871094,168.1009979248047,34.857513427734375,48.92648696899414,355.64739990234375,228.919677734375,46.04597473144531,86.12598419189453,180.87551879882812,113.37545776367188,301.97894287109375,293.9181823730469,114.46121978759766,57.93595504760742,147.43052673339844,135.2515411376953,48.415096282958984,182.6317596435547,374.3179626464844,210.91595458984375,115.35842895507812,300.05584716796875,66.9389877319336,68.79728698730469,251.49456787109375,69.97569274902344,508.8999938964844,122.62051391601562,15.325493812561035,72.36700439453125,129.4777374267578,32.41233444213867,123.17212677001953,76.91199493408203,124.1978759765625,17.364656448364258,475.6920471191406,248.0399932861328,167.54891967773438,376.3804931640625,203.1300048828125,151.5342559814453,220.51300048828125,45.49931335449219,44.35152816772461,47.390682220458984
2021-04-22,128.90005493164062,94.20616149902344,114.72340393066406,507.2900085449219,222.87628173828125,165.45199584960938,34.53341293334961,48.693763732910156,352.9569091796875,229.70407104492188,45.66469192504883,84.6336669921875,180.52980041503906,112.0901107788086,297.997802734375,289.8694152832031,112.65121459960938,56.908206939697266,146.1826629638672,132.40345764160156,48.264381408691406,178.901611328125,374.572021484375,211.55162048339844,115.00416564941406,295.1290283203125,65.86598205566406,67.96390533447266,248.2034454345703,70.2898178100586,508.7799987792969,121.94084930419922,14.816405296325684,70.67724609375,128.67616271972656,31.68258285522461,121.94925689697266,76.76502227783203,121.26144409179688,18.085540771484375,479.4546813964844,239.89666748046875,164.79931640625,374.23822021484375,198.17514038085938,150.634765625,220.62937927246094,44.82628631591797,43.87095260620117,46.772911071777344
